elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
100.0,90000.95785440612,90000.95785440612,90000.95785440612,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
101.1,52555.66218809981,52555.66218809981,52555.66218809981,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
1.0,36319.767441860466,36319.767441860466,36319.767441860466,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
2.1,32470.986460348162,32470.986460348162,32470.986460348162,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
3.1,33831.24397299904,33831.24397299904,33831.24397299904,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
4.1,36032.72377285852,36032.72377285852,36032.72377285852,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
5.2,49169.393647738216,49169.393647738216,49169.393647738216,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
6.2,55462.055715658025,55462.055715658025,55462.055715658025,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
7.3,53202.68972142172,53202.68972142172,53202.68972142172,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
8.3,57021.133525456295,57021.133525456295,57021.133525456295,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
9.3,61745.68138195777,61745.68138195777,61745.68138195777,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
10.4,63958.693563880886,63958.693563880886,63958.693563880886,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
11.4,66847.40882917466,66847.40882917466,66847.40882917466,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
12.5,69233.42939481269,69233.42939481269,69233.42939481269,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
13.5,69976.92307692308,69976.92307692308,69976.92307692308,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
14.6,70375.60038424592,70375.60038424592,70375.60038424592,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
15.6,71429.9424184261,71429.9424184261,71429.9424184261,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
16.6,67853.9865513929,67853.9865513929,67853.9865513929,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
17.7,73050.81495685523,73050.81495685523,73050.81495685523,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
18.7,75177.37296260787,75177.37296260787,75177.37296260787,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
19.8,77514.86097794824,77514.86097794824,77514.86097794824,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
20.8,77238.23246878003,77238.23246878003,77238.23246878003,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
21.8,77629.31034482758,77629.31034482758,77629.31034482758,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
22.9,76071.98443579767,76071.98443579767,76071.98443579767,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
23.9,78614.79346781941,78614.79346781941,78614.79346781941,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
