elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
46.9,175868.52207293664,175868.52207293664,175868.52207293664,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
47.9,175883.98849472677,175883.98849472677,175883.98849472677,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
48.9,173698.6564299424,173698.6564299424,173698.6564299424,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
50.0,174916.50671785028,174916.50671785028,174916.50671785028,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
51.0,175431.86180422263,175431.86180422263,175431.86180422263,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
52.1,173839.73128598847,173839.73128598847,173839.73128598847,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
53.1,174697.02780441038,174697.02780441038,174697.02780441038,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
54.1,176354.12667946256,176354.12667946256,176354.12667946256,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
55.2,173138.19577735124,173138.19577735124,173138.19577735124,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
1.0,153578.488372093,153578.488372093,153578.488372093,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
2.1,166239.84526112184,166239.84526112184,166239.84526112184,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
3.1,163652.1739130435,163652.1739130435,163652.1739130435,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
4.1,165178.74396135268,165178.74396135268,165178.74396135268,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
5.2,163830.44315992293,163830.44315992293,163830.44315992293,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
6.2,165739.17228103947,165739.17228103947,165739.17228103947,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
7.3,164818.26923076922,164818.26923076922,164818.26923076922,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
8.3,164919.15303176132,164919.15303176132,164919.15303176132,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
9.3,162816.34615384616,162816.34615384616,162816.34615384616,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
